Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
10,0.2,0.2,1,74,74,74,22026259,33513484,16365853,16481,722,16443
100,0.2,0.2,1,1962,1962,5565,878901234,371279042,12086740,6247,11647,765
15,0.2,0.2,1,60,60,60,7964592,24085841,6817012,788,812,765
20,0.2,0.2,1,236,249,528,8985945,91688349,9948647,798,837,767
25,0.2,0.2,1,322,322,322,19018242,65461751,22067077,834,904,767
30,0.2,0.2,1,339,339,504,16844693,42866140,35668163,924,1076,767
35,0.2,0.2,1,434,434,636,18067275,61901977,41719048,985,1213,768
40,0.2,0.2,1,433,433,542,42778360,100646786,44319747,917,1071,768
45,0.2,0.2,1,653,653,877,17762779,77220894,9666614,840,912,769
5,0.2,0.2,1,44,44,44,19209993,34826827,24043253,767,769,766
50,0.2,0.2,1,599,604,846,24234450,40762886,12904621,1203,1638,769
55,0.2,0.2,1,625,625,1040,17727485,38254050,18268476,1028,1299,769
60,0.2,0.2,1,865,865,1079,50491827,66949447,12527032,2111,3470,770
65,0.2,0.2,1,1068,1068,1424,40435286,83562371,6343622,1962,3166,770
70,0.2,0.2,1,1086,1086,1329,50234662,94190200,13830520,1922,3078,771
75,0.2,0.2,1,1252,1252,2073,25418913,50728227,7761666,971,1179,771
80,0.2,0.2,1,1770,1770,2995,208435108,256468361,7408925,6252,11881,771
85,0.2,0.2,1,1778,1778,3319,145053119,189710403,6533909,4853,8967,772
90,0.2,0.2,1,1951,1956,3178,222148903,269704839,10041588,6439,12248,772
95,0.2,0.2,1,1830,1830,2802,17683446,37047512,6166272,1306,1860,773
10,0.2,0.4,1,216,216,484,5123764,20969870,5177318,781,798,766
100,0.2,0.4,1,16129,16158,36048,6983645430,10216764398,8148624,179604,390120,773
15,0.2,0.4,1,654,654,841,6174741,21367490,8368783,788,813,767
20,0.2,0.4,1,1066,1067,2294,6738962,21405344,9747945,830,899,767
25,0.2,0.4,1,1148,1148,1808,7821864,21403720,6854933,846,919,767
30,0.2,0.4,1,1183,1199,2536,10238437,22534393,6414786,1082,1363,768
35,0.2,0.4,1,2698,2701,4093,9151959,21071487,4990987,1043,1323,768
40,0.2,0.4,1,3475,3481,5818,14392792,44971683,5392099,1368,1975,768
45,0.2,0.4,1,3860,3863,5629,36690012,70584787,5593091,2602,4483,769
5,0.2,0.4,1,198,203,203,8334124,18938216,7952748,768,771,766
50,0.2,0.4,1,4986,4986,7145,37669880,61149278,7192597,2495,4013,769
55,0.2,0.4,1,6295,6310,10467,55289363,93541367,5979840,3417,6239,770
60,0.2,0.4,1,7098,7098,10792,188981275,275826029,6604398,9452,18103,770
65,0.2,0.4,1,8743,8750,13323,69512542,123393314,6235671,3973,7077,770
70,0.2,0.4,1,9468,9468,18690,572245935,872339497,8826999,24040,49959,771
75,0.2,0.4,1,10596,10600,15153,594708879,872398271,5644997,24683,49739,771
80,0.2,0.4,1,13727,13730,23320,549572621,749526060,7720607,22432,43424,771
85,0.2,0.4,1,12413,12441,16975,111662413,171200063,6739728,5031,9487,772
90,0.2,0.4,1,13704,13704,25910,446997339,713130661,8197264,16783,34328,772
95,0.2,0.4,1,17333,17347,26061,842238023,1061784658,8049533,23221,46669,773
10,0.2,0.6,1,889,891,1038,7158145,21368597,6796585,772,780,766
100,0.2,0.6,1,57924,57936,86263,5716742008,7977362585,7964834,172644,356940,773
15,0.2,0.6,1,1200,1228,1918,11668458,33361486,11601637,793,821,767
20,0.2,0.6,1,1570,1576,3317,9909373,29694518,8896682,848,929,767
25,0.2,0.6,1,2903,2904,4725,11637529,29556628,9597570,844,926,768
30,0.2,0.6,1,5043,5098,8621,13473196,43240452,11151189,953,1119,768
35,0.2,0.6,1,6999,7011,12340,31454599,45175773,15937841,1509,2282,769
40,0.2,0.6,1,10476,10476,17134,24779939,66958999,6446635,1898,2927,769
45,0.2,0.6,1,10957,11009,19303,68485228,126598340,12841996,3672,6644,770
5,0.2,0.6,1,140,140,247,5586137,23440306,7555933,768,770,767
50,0.2,0.6,1,12814,12830,20804,38543820,79697839,5060941,3174,5535,770
55,0.2,0.6,1,16069,16083,22140,30925914,65512746,6303855,2536,4247,770
