Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
10,0.2,0.2,50,74,74,74,18932241,30406198,13131514,16481,722,16443
100,0.2,0.2,50,1962,3717,5565,618396254,108448584,13217154,6247,7091,765
15,0.2,0.2,50,60,60,60,9249433,23915490,8420136,788,16522,765
20,0.2,0.2,50,236,528,528,8045389,29126392,8682120,798,805,767
25,0.2,0.2,50,322,322,322,9849202,26687064,9664307,834,843,767
30,0.2,0.2,50,339,504,504,11180980,44569334,6846663,924,935,768
35,0.2,0.2,50,434,636,636,19727354,33189187,18347870,985,998,768
40,0.2,0.2,50,433,542,542,12150455,27507768,6507407,917,932,768
45,0.2,0.2,50,653,838,877,20243561,61087030,12625100,840,857,769
5,0.2,0.2,50,44,44,44,13103610,37653907,13016341,767,769,766
50,0.2,0.2,50,599,846,846,21094832,43095291,8805341,1203,1250,769
55,0.2,0.2,50,625,994,1040,19447579,51376046,17270518,1028,1094,770
60,0.2,0.2,50,865,1036,1079,54334849,41666619,21085976,2112,2137,770
65,0.2,0.2,50,1068,1424,1424,48350158,44690554,10607145,1962,2027,770
70,0.2,0.2,50,1086,1311,1329,42141264,47655598,9279253,1922,2135,771
75,0.2,0.2,50,1252,1922,2073,12088830,25763717,8533822,971,1046,771
80,0.2,0.2,50,1770,2197,2995,164316364,67824874,6930159,6253,6973,772
85,0.2,0.2,50,1778,2720,3319,118761876,65306328,5880834,4853,5749,772
90,0.2,0.2,50,1951,2831,3178,181460226,116559263,6404445,6439,8969,772
95,0.2,0.2,50,1830,2245,2802,18721643,24385208,5813834,1306,1470,773
10,0.2,0.4,50,216,484,484,4974286,14601355,5543371,781,785,766
100,0.2,0.4,50,16129,26546,36048,6972036672,1648622076,6034223,179604,196558,773
15,0.2,0.4,50,654,841,841,8335802,15599615,6469239,788,794,767
20,0.2,0.4,50,1066,2221,2294,5857122,15740432,5327487,830,837,767
25,0.2,0.4,50,1148,1808,1808,5727377,15891738,9390566,846,856,768
30,0.2,0.4,50,1183,2530,2536,9134081,15968576,5303493,1082,1093,768
35,0.2,0.4,50,2698,4093,4093,9313064,15686884,5033264,1043,1056,768
40,0.2,0.4,50,3475,5818,5818,14890196,22594091,5089645,1368,1388,769
45,0.2,0.4,50,3860,5629,5629,40282610,30293592,5388138,2602,2619,769
5,0.2,0.4,50,198,203,203,5712140,17156323,6610683,768,770,766
50,0.2,0.4,50,4986,7128,7145,29048744,31227413,5453242,2495,2579,769
55,0.2,0.4,50,6295,10176,10467,45289868,33864129,9112866,3418,3458,770
60,0.2,0.4,50,7098,10752,10792,163825736,66674689,5401023,9452,9475,770
65,0.2,0.4,50,8743,12733,13323,59743722,38221333,5370943,3973,4013,770
70,0.2,0.4,50,9468,16674,18690,547191871,168868188,5509498,24041,24359,771
75,0.2,0.4,50,10596,13807,15153,541221609,157695178,5896919,24683,25140,771
80,0.2,0.4,50,13727,20449,23320,596584979,224015851,5999092,22432,24434,772
85,0.2,0.4,50,12413,15910,16975,112764705,61524285,6315183,5031,5535,772
90,0.2,0.4,50,13704,20300,25910,448211460,146592865,6382976,16783,17172,772
95,0.2,0.4,50,17333,21517,26061,1070985915,271018583,6983718,23221,24013,773
10,0.2,0.6,50,889,1038,1038,7456175,20124562,6465955,772,776,766
100,0.2,0.6,50,57924,72909,86263,6865207511,1510298906,7739100,172644,179661,773
