Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
10,0.2,0.2,0.1,74,74,74,35400553,39040396,14028296,32210,722,16443
100,0.2,0.2,0.1,1962,1962,5565,810236649,355003917,10921017,6247,11929,765
15,0.2,0.2,0.1,60,60,60,9790262,34186364,8724164,785,810,762
20,0.2,0.2,0.1,236,236,528,9436578,33922218,10127769,794,828,763
25,0.2,0.2,0.1,322,322,322,16648387,40593269,21261575,830,900,763
30,0.2,0.2,0.1,339,339,504,19830623,58123357,23001745,924,1086,768
35,0.2,0.2,0.1,434,434,636,37701634,88731267,17192668,985,1208,768
40,0.2,0.2,0.1,433,433,542,15902235,58212892,13916608,917,1071,769
45,0.2,0.2,0.1,653,653,877,12538342,36239658,14286734,840,916,769
5,0.2,0.2,0.1,44,44,44,15046393,29432645,13729632,767,769,766
50,0.2,0.2,0.1,599,599,846,20696581,95022380,14036669,1204,1642,769
55,0.2,0.2,0.1,625,625,1040,36640202,44692217,16143334,1028,1298,770
60,0.2,0.2,0.1,865,865,1079,63867436,91361307,29337750,2112,3461,770
65,0.2,0.2,0.1,1068,1068,1424,59192515,77653592,10062481,1963,3159,771
70,0.2,0.2,0.1,1086,1086,1329,33805245,60560912,9107976,1922,3078,771
75,0.2,0.2,0.1,1252,1252,2073,10333272,25322117,6127884,971,1179,771
80,0.2,0.2,0.1,1770,1770,2995,158799674,228872185,6704461,6253,11779,772
85,0.2,0.2,0.1,1778,1778,3319,132069370,181779770,5923896,4853,9149,772
90,0.2,0.2,0.1,1951,1951,3178,380282578,263654466,8741118,6439,12168,772
95,0.2,0.2,0.1,1830,1830,2802,20837710,40850118,6681756,1306,1848,773
10,0.2,0.4,0.1,216,216,484,5796673,19264192,5190952,781,798,767
100,0.2,0.4,0.1,16129,16130,36048,8128929918,9348460201,6574132,179604,401703,773
15,0.2,0.4,0.1,654,654,841,5592549,16518384,7467481,789,812,767
20,0.2,0.4,0.1,1066,1067,2294,6038063,18074839,4854061,830,901,767
25,0.2,0.4,0.1,1148,1148,1808,6396904,18498678,4872379,847,930,768
30,0.2,0.4,0.1,1183,1183,2536,10274982,23554998,5580450,1082,1408,768
35,0.2,0.4,0.1,2698,2698,4093,9863648,21724754,5362067,1043,1324,768
40,0.2,0.4,0.1,3475,3475,5818,13188025,37572820,5011159,1369,1983,769
45,0.2,0.4,0.1,3860,3860,5629,35249993,66078201,5029922,2602,4456,769
5,0.2,0.4,0.1,198,198,203,4712470,14733980,5335913,768,771,766
50,0.2,0.4,0.1,4986,4986,7145,31000517,67161740,5015761,2495,4248,770
55,0.2,0.4,0.1,6295,6295,10467,49033725,87222765,5180797,3418,6400,770
60,0.2,0.4,0.1,7098,7098,10792,183041681,267770571,5031859,9452,18371,770
65,0.2,0.4,0.1,8743,8743,13323,59729661,104593847,5447383,3974,7310,771
70,0.2,0.4,0.1,9468,9468,18690,543722343,838915599,5134524,24041,51177,771
75,0.2,0.4,0.1,10596,10596,15153,580894508,803550718,6147738,24683,51485,771
80,0.2,0.4,0.1,13727,13727,23320,537051968,742454318,6552167,22432,45446,772
85,0.2,0.4,0.1,12413,12413,16975,114184049,161004418,6200613,5031,9573,772
90,0.2,0.4,0.1,13704,13704,25910,396931925,603610661,5740397,16783,34178,772
95,0.2,0.4,0.1,17333,17333,26061,618604566,856759348,6767157,23222,47304,773
10,0.2,0.6,0.1,889,889,1038,5996496,17764395,5680604,773,780,767
100,0.2,0.6,0.1,57924,57925,86263,4837907503,6679141878,6675496,172645,371362,773
15,0.2,0.6,0.1,1200,1201,1918,13494196,16854056,7254803,793,822,767
20,0.2,0.6,0.1,1570,1570,3317,6815570,18845338,5025382,848,933,767
25,0.2,0.6,0.1,2903,2903,4725,6273935,18724330,5604731,844,923,768
30,0.2,0.6,0.1,5043,5043,8621,8239803,23314445,5294030,953,1143,769
35,0.2,0.6,0.1,6999,6999,12340,13153022,37733017,5021884,1509,2322,769
40,0.2,0.6,0.1,10476,10476,17134,21697177,45550289,7140650,1898,3083,770
45,0.2,0.6,0.1,10957,10962,19303,43849535,77831312,6243220,3672,6708,770
5,0.2,0.6,0.1,140,140,247,4805437,16023445,5059586,768,770,767
50,0.2,0.6,0.1,12814,12814,20804,43296842,80765951,5601097,3174,5801,770
55,0.2,0.6,0.1,16069,16069,22140,26796852,62049237,5818932,2537,4482,771
60,0.2,0.6,0.1,20883,20883,30969,140328503,225011906,5688337,8819,18375,771
65,0.2,0.6,0.1,20665,20665,32287,67394191,101566502,5572899,40927,8225,37294
70,0.2,0.6,0.1,22136,22136,44392,783176627,931591758,6002295,67372,61165,37296
75,0.2,0.6,0.1,31566,31566,48694,543979972,908275077,6295897,61281,58976,37297
80,0.2,0.6,0.1,32477,32478,52211,296491039,445169643,6265495,50592,30759,37297
85,0.2,0.6,0.1,34121,34121,62722,1223250958,2275287404,5799185,71563,97921,37298
90,0.2,0.6,0.1,41779,41779,62814,3895389610,5779287847,6725321,176450,319015,37298
95,0.2,0.6,0.1,46009,46009,75829,2358474776,2921026556,10872138,106941,153332,36890
