Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
10,0.2,0.2,25,74,74,74,19036982,26460081,12143055,16481,722,16443
100,0.2,0.2,25,1962,2696,5565,594699685,205122017,11682687,6247,8700,765
15,0.2,0.2,25,60,60,60,6780340,28186257,9570407,784,789,761
20,0.2,0.2,25,236,528,528,9598993,20665138,9290480,794,800,763
25,0.2,0.2,25,322,322,322,8301335,25605666,7598666,830,851,763
30,0.2,0.2,25,339,486,504,11906015,46238123,13087175,920,946,764
35,0.2,0.2,25,434,627,636,22470256,30144664,16800925,981,1035,764
40,0.2,0.2,25,433,513,542,14935151,36157975,10773329,16646,985,768
45,0.2,0.2,25,653,838,877,23375656,56980750,10000405,840,874,769
5,0.2,0.2,25,44,44,44,18710272,38272955,10670053,767,769,766
50,0.2,0.2,25,599,766,846,27331926,36676712,10300992,1203,1319,769
55,0.2,0.2,25,625,802,1040,21142463,47936191,9020870,1028,1159,770
60,0.2,0.2,25,865,961,1079,52948444,49343329,9819531,2112,2272,770
65,0.2,0.2,25,1068,1258,1424,56157255,63634176,10215759,1963,2614,771
70,0.2,0.2,25,1086,1134,1329,54852016,52790500,10161656,1922,2440,771
75,0.2,0.2,25,1252,1502,2073,11095000,25464306,10470574,971,1129,771
80,0.2,0.2,25,1770,1917,2995,157209965,123799337,5815637,6253,8910,772
85,0.2,0.2,25,1778,2156,3319,121868368,117609557,5956845,4853,7063,772
90,0.2,0.2,25,1951,2134,3178,183853854,187652268,5552044,6439,10426,772
95,0.2,0.2,25,1830,2034,2802,18390924,33305818,5906779,1306,1568,773
10,0.2,0.4,25,216,484,484,5406004,15353432,5780296,781,785,766
100,0.2,0.4,25,16129,20229,36048,6922919087,2589808906,6013430,179604,221828,773
15,0.2,0.4,25,654,841,841,5161418,16098113,6748212,789,794,767
20,0.2,0.4,25,1066,2221,2294,5687401,16324049,5493364,830,837,767
25,0.2,0.4,25,1148,1676,1808,6216012,17259736,5368805,846,856,768
30,0.2,0.4,25,1183,2228,2536,9731328,16808651,5059266,1082,1152,768
