Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
10,0.2,0.2,0.5,74,74,74,19848544,23445038,19537406,16481,722,16443
100,0.2,0.2,0.5,1962,1962,5565,616405823,399955111,12899787,6247,12147,16493
15,0.2,0.2,0.5,60,60,60,14838758,27695837,18046068,788,812,16494
20,0.2,0.2,0.5,236,243,528,7738663,27964607,8974766,798,835,767
25,0.2,0.2,0.5,322,322,322,9918961,87112744,8548977,834,904,767
30,0.2,0.2,0.5,339,339,504,15058675,47069103,13727835,924,1085,768
35,0.2,0.2,0.5,434,434,636,26844919,70083234,30814097,985,1213,768
40,0.2,0.2,0.5,433,433,542,13102424,46410509,9278640,917,1071,769
45,0.2,0.2,0.5,653,653,877,11845796,26594332,8910203,840,916,769
5,0.2,0.2,0.5,44,44,44,7864087,27331176,8382740,767,769,766
50,0.2,0.2,0.5,599,599,846,24350221,49749271,8381986,1203,1647,769
55,0.2,0.2,0.5,625,625,1040,18884607,33356115,10207499,1028,1298,770
60,0.2,0.2,0.5,865,865,1079,49360052,78072283,9080122,2112,3461,770
65,0.2,0.2,0.5,1068,1068,1424,54441936,57168230,26997481,1963,3166,771
70,0.2,0.2,0.5,1086,1086,1329,29662009,50555406,5291990,1922,3078,771
75,0.2,0.2,0.5,1252,1252,2073,9590459,24652934,5564117,971,1180,771
80,0.2,0.2,0.5,1770,1770,2995,154832924,210992525,7244283,6253,11815,772
85,0.2,0.2,0.5,1778,1778,3319,125111501,157506693,6069844,4853,9043,772
90,0.2,0.2,0.5,1951,1954,3178,172046948,237613815,6185543,6439,12187,772
95,0.2,0.2,0.5,1830,1830,2802,17860816,34476687,5984580,1306,1848,773
10,0.2,0.4,0.5,216,216,484,5269721,15890082,5283981,781,798,767
100,0.2,0.4,0.5,16129,16130,36048,7569541382,8636514722,5894170,179604,385140,773
15,0.2,0.4,0.5,654,654,841,5824738,17139932,8015889,789,812,767
20,0.2,0.4,0.5,1066,1067,2294,5993709,17808868,5082622,830,900,767
25,0.2,0.4,0.5,1148,1148,1808,6143964,19999466,5250028,846,920,768
30,0.2,0.4,0.5,1183,1183,2536,9985425,22587063,5596762,1082,1389,768
35,0.2,0.4,0.5,2698,2701,4093,9727212,21474140,5080808,1043,1329,768
40,0.2,0.4,0.5,3475,3475,5818,11966395,38057450,5483087,1369,1981,769
45,0.2,0.4,0.5,3860,3863,5629,34040611,71971993,6554459,2602,4467,769
5,0.2,0.4,0.5,198,203,203,5387539,15870061,5142004,768,771,766
50,0.2,0.4,0.5,4986,4986,7145,30461618,58587546,5142444,2495,4113,769
55,0.2,0.4,0.5,6295,6298,10467,44440931,82765542,4940555,3418,6237,770
60,0.2,0.4,0.5,7098,7098,10792,170937497,252224644,5469856,9452,18175,770
65,0.2,0.4,0.5,8743,8743,13323,61765002,101775664,5103819,3974,7219,771
70,0.2,0.4,0.5,9468,9468,18690,560346380,782065631,5835426,24041,50708,771
75,0.2,0.4,0.5,10596,10596,15153,527531460,767206977,5854017,24683,49949,771
80,0.2,0.4,0.5,13727,13730,23320,534343904,727687778,6248963,22432,44524,772
85,0.2,0.4,0.5,12413,12413,16975,108976026,149694396,5844511,5031,9555,772
90,0.2,0.4,0.5,13704,13704,25910,408719755,575980253,6112863,16783,34164,772
95,0.2,0.4,0.5,17333,17336,26061,622555285,842347854,6284769,23222,47166,773
10,0.2,0.6,0.5,889,891,1038,5471439,19519164,5369991,772,779,767
100,0.2,0.6,0.5,57924,57925,86263,4802676576,6844972044,6496036,172645,371288,773
15,0.2,0.6,0.5,1200,1201,1918,7087397,20231946,9717199,793,822,767
20,0.2,0.6,0.5,1570,1575,3317,8303678,27418145,6964869,848,928,767
25,0.2,0.6,0.5,2903,2903,4725,6755230,20246597,5261405,844,926,768
30,0.2,0.6,0.5,5043,5043,8621,7548674,23809051,5279790,953,1125,769
35,0.2,0.6,0.5,6999,7004,12340,13392835,38524079,5254102,1509,2295,769
40,0.2,0.6,0.5,10476,10476,17134,25140125,52946666,6673180,1898,3184,769
45,0.2,0.6,0.5,10957,10962,19303,58419617,91182496,5800721,3672,6790,770
5,0.2,0.6,0.5,140,140,247,5411778,15577258,5325525,768,770,767
50,0.2,0.6,0.5,12814,12830,20804,37955455,78686653,5477456,3174,5743,770
55,0.2,0.6,0.5,16069,16069,22140,25961985,61856460,6345666,2537,4433,771
60,0.2,0.6,0.5,20883,20883,30969,125386222,218379041,5730699,8819,17607,771
65,0.2,0.6,0.5,20665,20674,32287,66328015,94655722,6255397,40923,8020,37290
70,0.2,0.6,0.5,22136,22136,44392,779780153,945959059,5475225,67369,61184,37292
75,0.2,0.6,0.5,31566,31582,48694,529688754,824003086,5706657,61277,54908,37293
80,0.2,0.6,0.5,32477,32486,52211,320326729,420061591,9814661,50588,29194,37293
85,0.2,0.6,0.5,34121,34128,62722,1220606864,1938331483,5667563,71559,87887,37294
90,0.2,0.6,0.5,41779,41779,62814,3548167989,5003095148,6580266,176438,309860,37294
95,0.2,0.6,0.5,46009,46009,75829,2191779535,2495412390,10357215,106913,148440,36861
10,0.2,0.8,0.5,1569,1569,2029,5495118,15987649,6031578,36858,777,36855
100,0.2,0.8,0.5,105901,105909,150807,1266539662,2125665417,6716232,70670,89570,36862
15,0.2,0.8,0.5,2590,2590,3523,6748169,21690321,6641367,36865,791,36855
20,0.2,0.8,0.5,4999,5003,7529,6571081,19470568,11209520,36887,845,36856
25,0.2,0.8,0.5,5896,5897,8933,6268595,19233980,6191958,36907,869,36856
30,0.2,0.8,0.5,13769,13772,17167,8761008,26480501,6812869,36970,994,36857
35,0.2,0.8,0.5,10768,10773,19493,12512634,25997271,7490057,37124,1301,36857
40,0.2,0.8,0.5,16005,16007,29078,18206059,35275317,5813557,37815,2790,36857
45,0.2,0.8,0.5,23477,23477,36111,25886371,50911881,9793712,38113,3399,36858
5,0.2,0.8,0.5,396,396,607,5843143,16575591,7744236,36856,772,36855
50,0.2,0.8,0.5,25834,25835,38607,21406684,45714451,6031434,37992,3134,36858
55,0.2,0.8,0.5,37149,37150,58550,83990985,129978940,5195050,41441,10379,36858
60,0.2,0.8,0.5,36349,36349,58136,54213225,83182097,5754610,40183,7707,36859
65,0.2,0.8,0.5,47499,47510,74719,111540959,191526984,6537233,43456,15201,36859
70,0.2,0.8,0.5,42997,43003,77056,345373801,509483929,5723553,50472,30475,36860
75,0.2,0.8,0.5,54048,54079,81979,83884421,130580769,8118456,40579,8626,36860
80,0.2,0.8,0.5,62435,62436,98265,427972554,680011188,6687240,54149,41472,36860
85,0.2,0.8,0.5,55352,55363,100402,627206403,908714662,13306609,56281,47130,36861
90,0.2,0.8,0.5,78086,78093,114261,545623291,860139873,6339088,56444,46028,36861
95,0.2,0.8,0.5,87020,87047,147530,1946138315,2516972499,6766829,82522,110080,36861
10,0.2,1,0.5,1921,1921,2715,5918901,16294695,6080228,36858,776,36855
100,0.2,1,0.5,171168,171173,242041,9433130,20547835,6751320,37173,1431,36862
15,0.2,1,0.5,3944,3944,6022,5551651,16605706,5369417,36860,780,36856
20,0.2,1,0.5,7032,7033,9947,5470860,16697248,5338058,36862,785,36856
25,0.2,1,0.5,11344,11347,15109,7423985,19154463,6113104,36868,797,36856
30,0.2,1,0.5,12864,12873,21418,6665217,20613022,6609710,36877,815,36857
35,0.2,1,0.5,22558,22561,28298,7015401,21867186,11299223,36869,800,36857
40,0.2,1,0.5,33256,33259,46494,6855746,22250760,7599885,36873,809,36857
45,0.2,1,0.5,36891,36891,52120,11302876,20429864,8733120,36877,816,36858
5,0.2,1,0.5,419,419,546,5936994,19650455,7672552,36856,773,36855
50,0.2,1,0.5,43331,43336,65372,10832088,25597081,6609787,36912,887,36858
55,0.2,1,0.5,53067,53071,80156,7989104,26969190,6351668,36931,924,36859
60,0.2,1,0.5,47152,47153,75331,6945826,28136534,6100027,36923,909,36859
65,0.2,1,0.5,77220,77220,115588,8752770,20830151,6212237,36925,912,36859
70,0.2,1,0.5,87288,87288,124285,6320386,17781883,6577170,36897,857,36860
75,0.2,1,0.5,84307,84309,128269,6769825,24041321,6017193,36935,937,36860
80,0.2,1,0.5,114361,114372,173268,6523355,21131870,5746950,36949,963,36860
85,0.2,1,0.5,149864,149864,201583,6959923,23992080,7611149,36928,921,36861
90,0.2,1,0.5,150649,150649,213741,7014281,22177351,7259239,36930,924,36861
95,0.2,1,0.5,153874,153874,222196,7935101,26500109,6566313,36980,1025,36862
10,0.4,0.2,0.5,52,52,52,5621646,27668086,5726509,36865,790,36855
100,0.4,0.2,0.5,14,14,14,5984059,19482597,6438142,36894,852,36862
15,0.4,0.2,0.5,24,24,27,6390480,16848943,6544694,36863,787,36856
20,0.4,0.2,0.5,24,24,26,5876946,17921509,5542659,36885,830,36856
25,0.4,0.2,0.5,57,57,57,8677955,20548887,7369521,36874,810,36856
30,0.4,0.2,0.5,223,224,283,8953811,20727293,9011700,36899,863,36857
35,0.4,0.2,0.5,14,14,14,8768210,25843526,6364058,36972,1005,36857
40,0.4,0.2,0.5,8,8,8,5841350,18144707,6243759,36873,807,36857
45,0.4,0.2,0.5,9,9,9,7260084,20153977,6777726,36914,891,36858
5,0.4,0.2,0.5,45,45,47,5484528,19576813,5500729,36857,774,36855
50,0.4,0.2,0.5,46,46,46,8056733,24338869,6569090,36937,936,36858
55,0.4,0.2,0.5,36,36,49,13553753,26732765,6510060,37054,1171,36859
60,0.4,0.2,0.5,12,12,12,6831128,20217696,5916463,36938,937,36859
65,0.4,0.2,0.5,82,82,106,6545012,18276761,5968087,36899,862,36859
70,0.4,0.2,0.5,5,5,5,6076465,22113334,5933973,36884,831,36860
75,0.4,0.2,0.5,52,52,52,8012798,26118852,6658957,36937,938,36860
80,0.4,0.2,0.5,10,10,10,13971095,24651648,7621714,37061,1186,36861
85,0.4,0.2,0.5,3,3,3,167727954,211273997,8169644,41137,9357,36861
90,0.4,0.2,0.5,105,105,146,48374079,59193311,7230928,38246,3576,36861
95,0.4,0.2,0.5,23,23,23,10087494,28185361,6347068,37026,37037,36862
10,0.4,0.4,0.5,185,185,221,7694991,27507148,6785140,36861,36862,36855
100,0.4,0.4,0.5,10140,10144,18834,966206680,997905276,6696787,61940,61952,36862
15,0.4,0.4,0.5,476,477,629,5908458,16648979,5807780,36861,36863,36857
20,0.4,0.4,0.5,364,364,578,5798562,22027336,5489975,36888,36890,36857
25,0.4,0.4,0.5,1183,1183,1399,7863328,20306908,6269747,37005,37008,36858
30,0.4,0.4,0.5,754,754,1355,6883461,19786854,5474602,36976,36979,36858
35,0.4,0.4,0.5,1610,1610,2050,10458563,16933726,5231281,37175,37179,36858
40,0.4,0.4,0.5,2953,2953,4354,18328004,25472035,5349706,37789,37793,36859
45,0.4,0.4,0.5,3718,3723,6490,31662915,44638162,5584767,38649,38654,36859
5,0.4,0.4,0.5,66,66,66,5829462,16703558,5513622,36858,36859,36856
50,0.4,0.4,0.5,6546,6546,9483,100643136,110232195,6109457,41516,41522,36860
55,0.4,0.4,0.5,3588,3588,4380,19581280,33681826,5935328,37584,37590,36860
60,0.4,0.4,0.5,4053,4053,6632,103119070,100671466,6557423,41283,41290,36860
65,0.4,0.4,0.5,5096,5096,9780,145489727,160002346,5831415,42836,42843,36861
70,0.4,0.4,0.5,4707,4708,9175,204464330,211502692,5970274,45379,45387,36861
75,0.4,0.4,0.5,6066,6068,11158,78856581,92560085,6068822,40148,40157,36862
80,0.4,0.4,0.5,9267,9270,16032,402978054,455474701,6325316,49183,49192,36862
85,0.4,0.4,0.5,7504,7505,11477,295243520,292182089,11432067,45023,45033,36862
90,0.4,0.4,0.5,7529,7539,11684,2870861326,2915701749,6578105,124523,124255,36863
95,0.4,0.4,0.5,11123,11123,17610,639388804,679737827,6914291,54403,54414,36584
10,0.4,0.6,0.5,664,666,727,6440733,19610977,6267885,36581,36582,36578
100,0.4,0.6,0.5,40667,40683,73373,30789071937,54529784083,7324586,393355,395069,36585
15,0.4,0.6,0.5,1130,1130,1564,6318701,18274109,7636029,36683,36685,36599
20,0.4,0.6,0.5,2814,2816,4596,7318369,22376351,5818562,36788,36790,36661
25,0.4,0.6,0.5,3222,3226,5460,7612461,28675915,6278378,36731,36734,36661
30,0.4,0.6,0.5,2649,2651,4053,10024218,17018462,6047896,36944,36947,36662
35,0.4,0.6,0.5,4062,4062,8054,11270579,20078469,6324236,37026,37030,36662
40,0.4,0.6,0.5,9779,9779,14328,18194080,27425485,5743281,37496,37501,36663
45,0.4,0.6,0.5,9363,9363,15630,50281830,70413857,6373508,39871,39876,36663
5,0.4,0.6,0.5,329,329,405,5826120,16983508,6250494,36662,36662,36660
50,0.4,0.6,0.5,9196,9197,16499,45464957,58517440,5791150,39169,39175,36663
55,0.4,0.6,0.5,11988,12001,21083,193414405,226548287,6240389,44339,44346,36664
60,0.4,0.6,0.5,14027,14027,22923,191346784,223154488,6588893,44970,45018,36664
65,0.4,0.6,0.5,16298,16304,29295,284495306,317663638,6422229,46804,46812,36664
70,0.4,0.6,0.5,21087,21127,36780,958301480,1052306392,6067445,62732,62914,36665
75,0.4,0.6,0.5,26005,26007,41325,952492925,917960567,10945678,62397,62406,36665
80,0.4,0.6,0.5,22237,22240,39964,2081410805,1932210566,6463949,84508,84814,36665
85,0.4,0.6,0.5,28054,28075,49652,5487742624,7731564370,6449469,146802,148792,36666
90,0.4,0.6,0.5,30766,30811,53797,5789012606,6674352018,8827084,146449,144692,38681
95,0.4,0.6,0.5,32645,32653,59037,2825161612,3088709680,7508480,90580,90871,37006
10,0.4,0.8,0.5,1167,1169,1535,5468570,16564230,5823010,37716,37788,37280
100,0.4,0.8,0.5,97548,97554,158666,3431179841,3996173791,6569570,124252,124232,37790
15,0.4,0.8,0.5,1929,1929,3224,6171894,18042923,6423884,37668,37669,37646
20,0.4,0.8,0.5,3950,3950,6846,6579853,19229144,6098669,37690,37692,37646
25,0.4,0.8,0.5,5019,5028,9180,7960007,21280083,6116460,37770,37773,37647
30,0.4,0.8,0.5,8467,8473,13786,6827861,19967334,6123015,37720,37724,37647
35,0.4,0.8,0.5,15952,15953,22319,12063478,24769161,6136818,37891,37895,37647
40,0.4,0.8,0.5,17651,17651,26040,31418912,46616273,6341906,39310,39315,37648
45,0.4,0.8,0.5,18301,18303,32688,42152239,47844032,6935743,39761,39766,37648
5,0.4,0.8,0.5,267,269,296,5772091,16834288,5814339,37646,37647,37645
50,0.4,0.8,0.5,23569,23570,41011,58691421,80122803,5698736,41228,41244,37648
55,0.4,0.8,0.5,28936,28944,45640,55381035,64317600,5889190,41073,41080,37649
60,0.4,0.8,0.5,29230,29235,43893,53907413,70218267,6133205,40523,40550,37649
65,0.4,0.8,0.5,45484,45484,73141,151284415,171261324,5917030,44299,44306,37650
70,0.4,0.8,0.5,43927,43943,71324,1090477056,997175549,5587218,66663,66872,37650
75,0.4,0.8,0.5,55140,55140,88824,351682275,420422387,6261836,51598,51607,37650
80,0.4,0.8,0.5,53935,53940,89368,1074757227,1154877536,6865555,68412,68611,37651
85,0.4,0.8,0.5,42421,42427,82999,7399538323,9708020436,6515847,176074,174559,37651
90,0.4,0.8,0.5,57539,57548,102035,1780148258,1833992882,7011699,83419,83591,38335
95,0.4,0.8,0.5,80826,80842,136344,1870504944,2109227901,6915404,90617,90779,38850
10,0.4,1,0.5,1992,1992,2789,5752708,17317057,6053971,39290,39594,38995
100,0.4,1,0.5,159354,159360,242336,12844314,24005237,6564975,40325,40336,39860
15,0.4,1,0.5,4269,4272,7060,7617366,19394653,6200236,39858,39860,39853
20,0.4,1,0.5,7376,7378,10916,6616281,17447154,6115292,39860,39862,39854
25,0.4,1,0.5,10888,10899,15127,6047168,18040729,6024044,39871,39874,39854
