Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
10,0.2,0.2,100,74,74,74,19716261,30647395,12280033,16481,722,16443
100,0.2,0.2,100,1962,5565,5565,581435917,213351704,15343325,6247,6286,765
15,0.2,0.2,100,60,60,60,8709114,25211838,9126002,16512,789,761
20,0.2,0.2,100,236,528,528,7147741,30051420,10349962,792,799,761
25,0.2,0.2,100,322,322,322,15160255,34310070,8341113,830,839,763
30,0.2,0.2,100,339,504,504,14394628,37844763,7762636,920,931,764
35,0.2,0.2,100,434,636,636,20350071,61174894,10165214,981,994,764
40,0.2,0.2,100,433,542,542,35940674,73497135,38869198,914,929,765
45,0.2,0.2,100,653,838,877,15840590,33801731,11784556,837,855,766
5,0.2,0.2,100,44,44,44,13968213,34036403,12117648,764,766,763
50,0.2,0.2,100,599,846,846,32309726,43951828,13537853,1203,1223,769
55,0.2,0.2,100,625,994,1040,20443640,33984620,12289333,1028,1048,770
60,0.2,0.2,100,865,1079,1079,76158859,76333307,9746348,2112,2135,770
65,0.2,0.2,100,1068,1424,1424,63832712,49758859,12810873,1963,1987,771
70,0.2,0.2,100,1086,1329,1329,38903428,50740514,5710491,1922,1948,771
75,0.2,0.2,100,1252,2073,2073,14739611,30768092,6834043,971,1000,771
80,0.2,0.2,100,1770,2979,2995,197540595,155845559,5455373,6253,6282,772
85,0.2,0.2,100,1778,3171,3319,137653553,125393898,5492454,4853,4886,772
90,0.2,0.2,100,1951,3144,3178,234830709,191866272,5908630,6439,6635,772
95,0.2,0.2,100,1830,2802,2802,25792946,37053828,6713669,1306,1343,773
10,0.2,0.4,100,216,484,484,5076168,15205448,4875089,781,785,766
100,0.2,0.4,100,16129,34816,36048,8234571893,915069429,5925000,179604,179741,773
15,0.2,0.4,100,654,841,841,5846695,16209441,6089409,789,794,767
20,0.2,0.4,100,1066,2221,2294,6279013,18709187,5044342,830,838,767
25,0.2,0.4,100,1148,1808,1808,7149607,25334181,5361090,846,857,768
30,0.2,0.4,100,1183,2530,2536,13108936,21928897,5597644,1082,1093,768
35,0.2,0.4,100,2698,4093,4093,15187874,21322820,5402657,1043,1058,768
40,0.2,0.4,100,3475,5818,5818,20430829,34216594,4954973,1369,1384,769
45,0.2,0.4,100,3860,5629,5629,49673387,73211560,5309640,2602,2619,769
5,0.2,0.4,100,198,203,203,5198796,15429109,5397004,768,770,766
50,0.2,0.4,100,4986,7128,7145,43198876,72070766,5369773,2495,2516,769
55,0.2,0.4,100,6295,10467,10467,58034016,65967224,5399731,3418,3441,770
60,0.2,0.4,100,7098,10752,10792,216057902,217327818,5407931,9452,9477,770
65,0.2,0.4,100,8743,13241,13323,71977412,72919552,5599392,3974,4004,771
70,0.2,0.4,100,9468,18651,18690,687231538,539390394,5463033,24041,24067,771
75,0.2,0.4,100,10596,15153,15153,665853098,590769800,5909259,24683,24713,771
80,0.2,0.4,100,13727,23320,23320,687130585,587088486,5731496,22432,22463,772
85,0.2,0.4,100,12413,16883,16975,124462220,111574082,5655484,5031,5073,772
90,0.2,0.4,100,13704,25910,25910,519215061,451335013,5925619,16783,16820,772
95,0.2,0.4,100,17333,25991,26061,754438096,663605318,6817579,23222,23266,773
10,0.2,0.6,100,889,1038,1038,5159495,15318852,5135424,772,776,767
100,0.2,0.6,100,57924,85209,86263,6421794091,866055725,6337416,172645,172714,773
15,0.2,0.6,100,1200,1918,1918,5616145,21140536,6032149,793,799,767
20,0.2,0.6,100,1570,3268,3317,7835306,20868346,5155786,848,856,767
25,0.2,0.6,100,2903,4725,4725,7743191,22094592,5298111,844,855,768
30,0.2,0.6,100,5043,8621,8621,10944929,29463209,5145854,953,967,769
35,0.2,0.6,100,6999,12330,12340,20503281,41117246,5213073,1509,1525,769
40,0.2,0.6,100,10476,17134,17134,28158377,44285327,6523417,1898,1918,769
45,0.2,0.6,100,10957,19254,19303,58754477,91473411,5204701,3672,3695,770
5,0.2,0.6,100,140,242,247,6007875,15654419,8299449,768,770,767
50,0.2,0.6,100,12814,20774,20804,55219020,73683846,5424096,3174,3201,770
55,0.2,0.6,100,16069,22089,22140,40930497,57652571,6313731,2537,2568,771
60,0.2,0.6,100,20883,30966,30969,168029368,181490397,5926784,8819,8843,771
65,0.2,0.6,100,20665,32264,32287,82006397,31715063,5458851,41104,4433,37471
70,0.2,0.6,100,22136,44392,44392,924851308,178363493,6451136,67550,30879,37474
75,0.2,0.6,100,31566,48645,48694,634629306,114724800,7037306,61458,24791,37474
80,0.2,0.6,100,32477,52128,52211,350973643,97298761,5921133,50769,14112,37475
85,0.2,0.6,100,34121,62678,62722,1342630655,163745483,6252355,71741,35080,37475
90,0.2,0.6,100,41779,62773,62814,4422416925,585792413,6352905,176565,140276,37475
95,0.2,0.6,100,46009,75805,75829,2407468268,308145733,6802898,107180,70877,37129
10,0.2,0.8,100,1569,2029,2029,5263992,15784513,5397599,37126,776,37122
100,0.2,0.8,100,105901,146180,150807,1435706804,173653077,6163826,70937,35119,37129
15,0.2,0.8,100,2590,3523,3523,5523073,16441366,5446714,37133,786,37123
20,0.2,0.8,100,4999,7529,7529,6306461,18002153,4785471,37155,810,37123
25,0.2,0.8,100,5896,8933,8933,6713749,25146553,5230105,37174,832,37123
30,0.2,0.8,100,13769,17145,17167,9440605,27684139,5378081,37237,898,37124
35,0.2,0.8,100,10768,19493,19493,12652909,15663652,5468004,37391,1055,37124
40,0.2,0.8,100,16005,29078,29078,22772506,21891462,5578815,38082,1749,37125
45,0.2,0.8,100,23477,36078,36111,34138963,26450555,9798154,38380,2050,37125
5,0.2,0.8,100,396,607,607,7508886,21535550,7888230,37123,772,37122
50,0.2,0.8,100,25834,38558,38607,23432666,21810210,5951895,38259,1933,37125
55,0.2,0.8,100,37149,58482,58550,107287222,36874999,5763071,41709,5387,37126
60,0.2,0.8,100,36349,58030,58136,68706248,28449999,5795833,40450,4133,37126
65,0.2,0.8,100,47499,74719,74719,133235740,42086283,5971546,43723,7410,37126
70,0.2,0.8,100,42997,77007,77056,404201886,92196279,5729040,50739,14416,37127
75,0.2,0.8,100,54048,81917,81979,81321241,33139638,5323931,40847,4526,37127
80,0.2,0.8,100,62435,98190,98265,482675058,89677860,6041688,54416,18096,37128
85,0.2,0.8,100,55352,93771,100402,730641506,134690834,6039470,56548,21189,37128
90,0.2,0.8,100,78086,114261,114261,620449304,106392219,5994862,56711,20398,37128
95,0.2,0.8,100,87020,137402,147530,2098389109,252976211,6472909,82789,47211,37129
10,0.2,1,100,1921,2715,2715,5050525,15625459,5615452,37125,776,37122
100,0.2,1,100,171168,231576,242041,13496270,42308551,5839677,37440,1739,37129
15,0.2,1,100,3944,6022,6022,5215720,22662011,4954815,37127,780,37123
20,0.2,1,100,7032,10011,9947,5882493,16269730,6044892,37129,784,37123
25,0.2,1,100,11344,15726,15109,5600989,17887931,5498926,37135,793,37123
30,0.2,1,100,12864,21418,21418,5644680,21988370,5510123,37144,804,37124
35,0.2,1,100,22558,28286,28298,6395141,22944290,5931348,37137,800,37124
40,0.2,1,100,33256,46494,46494,7649286,22344020,6623662,37140,807,37125
45,0.2,1,100,36891,52107,52120,10507039,22522340,7895285,37144,815,37125
5,0.2,1,100,419,536,546,5537830,21527865,5640984,37123,773,37122
50,0.2,1,100,43331,65272,65372,9759268,22479343,12034559,37179,853,37125
55,0.2,1,100,53067,80156,80156,9772433,29927169,6014376,37198,877,37126
60,0.2,1,100,47152,75258,75331,8334655,30276072,7011442,37190,873,37126
65,0.2,1,100,77220,115362,115588,10086804,31178320,8979221,37192,879,37127
70,0.2,1,100,87288,124111,124285,7562001,23925163,8029970,37164,855,37127
75,0.2,1,100,84307,128269,128269,8319433,30651926,5926121,37202,899,37127
80,0.2,1,100,114361,173231,173268,8516648,32515162,5959547,37216,918,37128
85,0.2,1,100,149864,201480,201583,8341185,32862944,7673958,37196,903,37128
90,0.2,1,100,150649,213664,213741,13420888,37675341,8800322,37197,911,37128
95,0.2,1,100,153874,221528,222196,9869277,32619639,6484863,37247,967,37129
10,0.4,0.2,100,52,52,52,5646420,17305115,5297628,37132,782,37122
100,0.4,0.2,100,14,14,14,6289462,25551203,6116592,37161,852,37129
15,0.4,0.2,100,24,27,27,5834915,19607446,7788459,37130,783,37123
20,0.4,0.2,100,24,24,26,8202512,22753734,5308696,37152,807,37123
25,0.4,0.2,100,57,57,57,5967029,17518905,9004893,37142,798,37124
30,0.4,0.2,100,223,283,283,6860473,24430329,5392461,37167,824,37124
35,0.4,0.2,100,14,14,14,11749292,26968713,6000520,37239,900,37124
40,0.4,0.2,100,8,8,8,9146858,25901131,8786140,37140,802,37125
45,0.4,0.2,100,9,9,9,8114733,27805428,8866986,37182,845,37125
5,0.4,0.2,100,45,47,47,6282824,23614668,6622828,37124,773,37122
50,0.4,0.2,100,46,46,46,7814320,22276915,7183683,37204,870,37125
55,0.4,0.2,100,36,49,49,14310467,30924977,7071652,37321,990,37126
60,0.4,0.2,100,12,12,12,7735928,25234374,5668821,37205,874,37126
65,0.4,0.2,100,82,106,106,7453708,28005271,6220450,37167,841,37127
70,0.4,0.2,100,5,5,5,6896611,22218358,5960738,37151,825,37127
75,0.4,0.2,100,52,52,52,8556977,23816894,9044075,37204,879,37127
80,0.4,0.2,100,10,10,10,13251147,32082613,6076419,37328,1007,37128
85,0.4,0.2,100,3,3,3,206698464,34376022,5994279,41404,5084,37128
90,0.4,0.2,100,105,146,146,53862936,19635060,5778821,38513,2197,37128
95,0.4,0.2,100,23,23,23,14567558,33774506,6206872,37294,37305,37129
10,0.4,0.4,100,185,221,221,5456325,16847990,5358598,37128,37129,37123
100,0.4,0.4,100,10140,18786,18834,1156215721,119046926,6003607,62207,62219,37129
15,0.4,0.4,100,476,629,629,5484454,16697123,5671364,37128,73830,37124
20,0.4,0.4,100,364,578,578,6360739,18614698,5641291,37155,37157,37124
25,0.4,0.4,100,1183,1399,1399,10877903,28545413,5584707,37272,37275,37125
30,0.4,0.4,100,754,1355,1355,8157364,24910839,5513925,37243,37246,37125
35,0.4,0.4,100,1610,2050,2050,17774710,14329193,5474125,37442,37446,37126
40,0.4,0.4,100,2953,4354,4354,28750058,21536080,5162811,38056,38061,37126
45,0.4,0.4,100,3718,6490,6490,52692976,29584119,5788012,38916,38921,37126
5,0.4,0.4,100,66,66,66,5216844,16391897,5439388,37125,37126,37124
50,0.4,0.4,100,6546,9441,9483,133798191,39004725,5768791,41784,41789,37127
55,0.4,0.4,100,3588,4380,4380,23421730,29302158,5881732,37851,37858,37127
60,0.4,0.4,100,4053,6632,6632,110432088,32736129,5885578,41550,41557,37128
65,0.4,0.4,100,5096,9742,9780,156157427,38711255,10231829,43103,43110,37128
70,0.4,0.4,100,4707,9151,9175,262512915,49470157,10963491,45646,45654,37128
75,0.4,0.4,100,6066,11146,11158,98889923,34923372,5966122,40415,40424,37129
80,0.4,0.4,100,9267,16027,16032,441483792,82983625,6443642,49450,49459,37129
85,0.4,0.4,100,7504,11422,11477,320565175,45345397,6180066,45290,45300,37130
90,0.4,0.4,100,7529,11684,11684,3437242217,382061454,6285889,124791,124801,37130
95,0.4,0.4,100,11123,17610,17610,782971937,93466154,6765416,54949,54960,37130
10,0.4,0.6,100,664,727,727,5328630,18060468,5489760,37127,37129,37124
100,0.4,0.6,100,40667,72581,73373,34016825925,1563833483,8267734,392780,392587,37131
15,0.4,0.6,100,1130,1564,1564,5671914,21699432,7605968,34692,35339,34117
20,0.4,0.6,100,2814,4596,4596,9406848,27533486,5796788,36137,36538,36010
25,0.4,0.6,100,3222,5460,5460,8218393,22397327,6260345,36479,36482,36409
30,0.4,0.6,100,2649,4053,4053,12581858,14924356,8870665,36692,36695,36410
35,0.4,0.6,100,4062,8054,8054,14480227,15434922,5670530,36774,36778,36410
40,0.4,0.6,100,9779,14326,14328,29608309,20204790,5915337,37244,37249,36410
45,0.4,0.6,100,9363,15616,15630,75271659,31940632,7612884,39619,39624,36411
5,0.4,0.6,100,329,405,405,6078792,25005871,10553578,36409,36410,36408
50,0.4,0.6,100,9196,16469,16499,63335699,34171426,5858882,38917,38923,36411
55,0.4,0.6,100,11988,21083,21083,238106009,50154941,5557072,44087,44094,36411
60,0.4,0.6,100,14027,22923,22923,242459409,55117843,5839629,44718,44766,36412
65,0.4,0.6,100,16298,29188,29295,328384979,71979443,6150333,46552,46560,36412
70,0.4,0.6,100,21087,36685,36780,1125917195,136187387,6973492,62480,62662,36413
75,0.4,0.6,100,26005,41267,41325,985295178,147647236,6334113,62145,62154,36413
80,0.4,0.6,100,22237,39931,39964,2559633852,231198038,7258586,84256,84562,36413
85,0.4,0.6,100,28054,49455,49652,6626773340,480691565,6597196,146575,146585,36414
90,0.4,0.6,100,30766,53286,53797,7967180327,471633329,7097522,143628,147540,36168
95,0.4,0.6,100,32645,58210,59037,3041513976,249848089,6997104,92939,93164,39538
10,0.4,0.8,100,1167,1535,1535,5447747,16643319,5539581,39861,40423,39858
100,0.4,0.8,100,97548,151976,158666,4498479720,523178260,6213043,125879,126092,40425
15,0.4,0.8,100,1929,3224,3224,6150052,26507804,6241177,39801,40318,39779
20,0.4,0.8,100,3950,6846,6846,6432685,20420167,5231470,40582,40796,40295
25,0.4,0.8,100,5019,9088,9180,9261453,25832885,5637266,41066,41221,40943
30,0.4,0.8,100,8467,13746,13786,7508354,20879208,5890932,41168,41172,41095
35,0.4,0.8,100,15952,22319,22319,10694952,30983794,5743024,41339,41343,41095
40,0.4,0.8,100,17651,26040,26040,51584220,29965569,7422930,42759,42763,41096
45,0.4,0.8,100,18301,32687,32688,52238566,29697345,7268837,43209,43214,41096
