Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
85,0.2,0.8,10,55352,57293,100402,916059271,787501047,9463694,56389,30184,36968
90,0.2,0.8,10,78086,79922,114261,656450776,677052060,10491459,56552,31231,36969
95,0.2,0.8,10,87020,90472,147530,2215970746,1285719978,7579138,82630,61742,36969
10,0.2,1,10,1921,2558,2715,7300117,21102643,7460734,36965,776,36963
100,0.2,1,10,171168,172378,242041,10152846,19649663,7452294,37280,1325,36969
15,0.2,1,10,3944,4368,6022,5307955,17158911,5504150,36967,781,36963
20,0.2,1,10,7032,7689,9947,7002663,22898017,6845753,36969,784,36964
25,0.2,1,10,11344,12188,15109,9212787,22726033,8174300,36976,796,36964
30,0.2,1,10,12864,13692,21418,9276458,32804333,8639110,36984,808,36964
35,0.2,1,10,22558,23187,28298,22285000,43500378,17766403,36977,800,36965
40,0.2,1,10,33256,34338,46494,15353110,45572141,16351829,36981,810,36965
45,0.2,1,10,36891,37601,52120,17893020,86159160,9603159,36985,818,36965
5,0.2,1,10,419,536,546,7541186,29077619,9774526,36964,772,36962
50,0.2,1,10,43331,44305,65372,15751620,31625082,11551353,37019,887,36966
55,0.2,1,10,53067,54173,80156,14048335,54529679,12943048,37038,925,36966
60,0.2,1,10,47152,47883,75331,22271933,41553892,9913062,37030,912,36967
65,0.2,1,10,77220,78351,115588,11467818,32784160,10383732,37032,902,36967
70,0.2,1,10,87288,88109,124285,10502846,48437394,12161910,37004,856,36967
75,0.2,1,10,84307,85235,128269,11616969,29547710,9634325,37043,938,36968
80,0.2,1,10,114361,115517,173268,6923416,30649936,7933184,37057,948,36968
85,0.2,1,10,149864,150897,201583,7952232,22214908,7113158,37036,925,36968
90,0.2,1,10,150649,151557,213741,9650933,27276848,7292816,37038,926,36969
95,0.2,1,10,153874,155196,222196,12030232,42374202,7885214,37088,1016,36969
10,0.4,0.2,10,52,52,52,7625554,25983813,7425588,36972,783,36963
100,0.4,0.2,10,14,14,14,12624652,34018155,13163217,37001,852,36969
15,0.4,0.2,10,24,27,27,16658835,37474122,9700998,36971,788,36963
20,0.4,0.2,10,24,24,26,8488361,30545969,9558746,36992,830,36964
25,0.4,0.2,10,57,57,57,6655614,21892388,8760069,36982,810,36964
30,0.4,0.2,10,223,283,283,8070051,25675399,6634775,37007,857,36964
35,0.4,0.2,10,14,14,14,11152434,42051523,11584323,37079,1005,36965
40,0.4,0.2,10,8,8,8,22948865,109251433,10301851,36980,807,36965
45,0.4,0.2,10,9,9,9,15665123,42665764,17359577,37022,891,36965
5,0.4,0.2,10,45,47,47,9517244,25997794,10528216,36964,775,36962
50,0.4,0.2,10,46,46,46,10393081,40237749,9734435,37044,936,36966
55,0.4,0.2,10,36,36,49,21484419,34211404,15815566,37162,1171,36966
60,0.4,0.2,10,12,12,12,14158715,29233870,9212558,37045,937,36967
65,0.4,0.2,10,82,82,106,6748503,22834851,7729364,37007,861,36967
70,0.4,0.2,10,5,5,5,6893112,23964738,7466376,36991,831,36967
75,0.4,0.2,10,52,52,52,11920601,32652570,10181146,37045,938,36968
80,0.4,0.2,10,10,10,10,16917652,31946400,7777703,37169,1186,36968
